zinc_id,smiles,bucket,pred_log10fc,pct_remaining_pred,pred_uncertainty,p_detectable,max_sim_to_training,in_applicability_domain,max_sim_to_cliff,mw,clogp,tranche,purchasability,vendor_lookup,has_aniline,has_amide,has_sulfonamide,has_tertiary_aliphatic_amine
2851801,Cc1ccc(SCCC(=O)NCCSCc2ccccc2C)cc1,uncertainty_sampling,-2.048163650472467,0.8950274385297475,1.5202843839232283,0.8355803166662157,0.2676056338028169,False,0.24675324675324675,359.56000000000006,4.835240000000004,FJAA,A,https://zinc20.docking.org/substances/2851801,False,True,False,False
64411601,c1ccc(COc2ccc(CNC[C@H]3COc4ccccc4C3)cc2)nc1,uncertainty_sampling,-1.6937266891802105,2.024292708667092,1.520083130972656,0.9209198687547119,0.28,False,0.2564102564102564,360.45700000000005,4.001500000000003,FIAB,B,https://zinc20.docking.org/substances/64411601,False,False,False,False
575442387,CC(C)c1ccc(CN2CCN([C@H](O)CCOc3ccc(F)cc3)CC2)cc1,uncertainty_sampling,-2.035895218736673,0.9206716733652167,1.519707021311239,0.9365760412342995,0.2976190476190476,False,0.24096385542168675,386.5110000000001,3.854200000000003,GHAB,B,https://zinc20.docking.org/substances/575442387,False,False,False,True
72330918,CCOc1ccc(CC(=O)OCC(=O)N(C)c2ccccc2)cc1OCC,uncertainty_sampling,-2.278199217810113,0.5269880681323523,1.5194025660702615,0.8776219427363898,0.3880597014925373,True,0.32,371.4330000000001,3.232700000000002,FGAB,B,https://zinc20.docking.org/substances/72330918,False,True,False,False
4619585,CCc1ccc(N(CC(=O)c2ccccc2)C2=N[C@@H](CC)CS2)cc1,uncertainty_sampling,-1.6145617674087946,2.4290599450941666,1.5193980683310782,0.8806281663379092,0.2898550724637681,False,0.2898550724637681,352.50300000000016,4.8197000000000045,FJAB,B,https://zinc20.docking.org/substances/4619585,False,False,False,False
23081125,CCN(CC)S(=O)(=O)c1ccc(CNC(=O)N(C)Cc2ccc(Cl)cc2Cl)s1,uncertainty_sampling,-1.914498791447769,1.2175903811441766,1.519311080398271,0.7893849638780291,0.25,False,0.23809523809523808,464.44000000000017,4.427000000000003,JIAB,B,https://zinc20.docking.org/substances/23081125,False,True,True,False
2814427,CCc1ccc(N(CC(=O)NCCSC2CCCCC2)S(C)(=O)=O)cc1,uncertainty_sampling,-1.8999113797905147,1.2591823287525885,1.519009607880944,0.8599793822462345,0.32941176470588235,False,0.2564102564102564,398.59400000000016,3.1971000000000016,GGAA,A,https://zinc20.docking.org/substances/2814427,False,True,True,False
91713934,CCN(Cc1noc(C)n1)C(=O)[C@H]1CCC(=O)N(Cc2ccc(Cl)cc2)C1,uncertainty_sampling,-1.8926584461574156,1.2803878780281033,1.5189061227383431,0.9202081743051815,0.2962962962962963,False,0.29069767441860467,390.8710000000001,2.818720000000001,GFAA,A,https://zinc20.docking.org/substances/91713934,False,True,False,False
8131521,CCn1c(C)cc(C(=O)CSc2nnc(-c3ccco3)n2Cc2ccccc2)c1C,uncertainty_sampling,-1.7814843291611524,1.653924462978625,1.5184646668583113,0.9231947407782931,0.4935064935064935,True,0.35294117647058826,420.5380000000001,4.999640000000005,HJAB,B,https://zinc20.docking.org/substances/8131521,False,False,False,False
4995386,CCOc1ccc(N(CC(=O)NCC(C)C)S(=O)(=O)c2ccc(C)cc2)cc1,uncertainty_sampling,-1.5711683993037726,2.68430339519131,1.5182387706533946,0.8331910287025799,0.352112676056338,True,0.352112676056338,404.53200000000015,3.361220000000002,HGAB,B,https://zinc20.docking.org/substances/4995386,False,True,True,False
15356951,CCCn1nnc(NCc2c(OCc3ccc(C)cc3)ccc3ccccc23)n1,uncertainty_sampling,-1.7024649353403434,1.9839698348299981,1.5181663458313623,0.9116989208295174,0.30985915492957744,False,0.23943661971830985,387.4870000000001,4.735820000000004,GJAB,B,https://zinc20.docking.org/substances/15356951,True,False,False,False
14981643,CN(Cc1cccc(Oc2ccccc2)c1)Cc1nnc(SCc2ccncc2)n1C,uncertainty_sampling,-1.985187209291423,1.0346960489460388,1.5181449376689709,0.924668760600159,0.3939393939393939,True,0.3939393939393939,431.5650000000001,4.926700000000005,IJAA,A,https://zinc20.docking.org/substances/14981643,False,False,False,True
12818273,CCCOc1ccc2ccccc2c1CN(C)S(=O)(=O)c1ccc(C(C)=O)cc1,uncertainty_sampling,-1.7560361801841509,1.753734395733879,1.5177244241973862,0.8711902298511788,0.25,False,0.24705882352941178,411.52300000000014,4.651900000000005,HJAB,B,https://zinc20.docking.org/substances/12818273,False,False,True,False
1911990,CCCOc1ccc(-c2csc3ncn(CCC(C)C)c(=O)c23)cc1,uncertainty_sampling,-1.745977408812225,1.7948269879518117,1.5177001464014754,0.924673806895952,0.3333333333333333,False,0.20833333333333334,356.4910000000001,4.959900000000005,FJAA,A,https://zinc20.docking.org/substances/1911990,False,False,False,False
7782548,CCOc1ccc(CN(C)[C@H](C)C(=O)NCCc2ccc(F)cc2)cc1,uncertainty_sampling,-1.4399976659262006,3.6308000610332654,1.5175554788613508,0.8981574765167234,0.43283582089552236,True,0.36619718309859156,358.457,3.4036000000000017,FGAB,B,https://zinc20.docking.org/substances/7782548,False,True,False,True
1161699,CCc1ccc(NC(=O)CN(CCc2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1,uncertainty_sampling,-2.0000920106029794,0.9997881601984026,1.5173827478603954,0.8482504151613665,0.3333333333333333,False,0.32051282051282054,436.5770000000001,4.429520000000005,IIAA,A,https://zinc20.docking.org/substances/1161699,True,True,True,False
6560794,Cc1ccc(CN(C)C(=O)CSCC(=O)Nc2ccc(F)cc2)cc1,uncertainty_sampling,-1.499347609671367,3.1670315535673885,1.5172565271145233,0.8273318115178618,0.3013698630136986,False,0.28378378378378377,360.454,3.4644200000000023,FGAB,B,https://zinc20.docking.org/substances/6560794,True,True,False,False
584903114,CCOc1ccc(CN(C(=O)NCc2sc(C)nc2CC)C2CC2)cc1,uncertainty_sampling,-1.5633240131939548,2.7332287910342505,1.5172096050827835,0.9313300892192161,0.3684210526315789,True,0.36,373.52200000000016,4.286820000000004,FIAA,A,https://zinc20.docking.org/substances/584903114,False,True,False,False
