model,roc_auc_random,roc_auc_scaffold,pr_auc_random,pr_auc_scaffold,roc_auc_optimism,pr_auc_optimism
baseline_prevalence,0.47007629227245507,0.44754562980946155,0.7835989348151453,0.7736995443051019,0.02253066246299351,0.009899390510043404
logistic_descriptors,0.7790545031115603,0.7485321015252961,0.9109173148700946,0.905081755950989,0.03052240158626418,0.005835558919105588
random_forest,0.8479921785316071,0.8232260261557812,0.9451544914794815,0.9372173769758214,0.02476615237582591,0.007937114503660081
