ocnt_batch,enzyme,n,n_zero,pattern
OCNT-0454552-AA-001,CYP2J2,4,0,none
OCNT-0454552-AA-001,CYP3A4,4,4,full
OCNT-0454587-AA-001,CYP2J2,4,0,none
OCNT-0454587-AA-001,CYP3A4,4,3,partial
OCNT-0454594-AA-001,CYP2J2,4,0,none
OCNT-0454594-AA-001,CYP3A4,4,0,none
OCNT-0454595-AA-001,CYP2J2,4,0,none
OCNT-0454595-AA-001,CYP3A4,3,0,none
OCNT-0454602-AA-001,CYP2J2,4,0,none
OCNT-0454602-AA-001,CYP3A4,4,0,none
OCNT-0454608-AA-001,CYP2J2,4,0,none
OCNT-0454608-AA-001,CYP3A4,4,4,full
OCNT-0454617-AA-001,CYP2J2,4,0,none
OCNT-0454617-AA-001,CYP3A4,3,2,partial
OCNT-0454626-AA-001,CYP2J2,4,0,none
OCNT-0454626-AA-001,CYP3A4,4,0,none
OCNT-0454634-AA-001,CYP2J2,4,0,none
OCNT-0454634-AA-001,CYP3A4,4,0,none
OCNT-0454638-AA-001,CYP2J2,4,0,none
OCNT-0454638-AA-001,CYP3A4,4,0,none
OCNT-0454674-AA-001,CYP2J2,4,0,none
OCNT-0454674-AA-001,CYP3A4,4,0,none
OCNT-0454678-AA-001,CYP2J2,4,0,none
OCNT-0454678-AA-001,CYP3A4,4,4,full
OCNT-0454685-AA-001,CYP2J2,4,0,none
OCNT-0454685-AA-001,CYP3A4,4,4,full
OCNT-0454702-AA-001,CYP2J2,4,0,none
OCNT-0454702-AA-001,CYP3A4,4,0,none
OCNT-0454708-AA-001,CYP2J2,4,2,partial
OCNT-0454708-AA-001,CYP3A4,4,0,none
OCNT-0454710-AA-001,CYP2J2,4,0,none
OCNT-0454710-AA-001,CYP3A4,4,0,none
OCNT-0454717-AA-001,CYP2J2,4,0,none
OCNT-0454717-AA-001,CYP3A4,4,0,none
OCNT-0454721-AA-001,CYP2J2,4,0,none
OCNT-0454721-AA-001,CYP3A4,4,4,full
OCNT-0454725-AA-001,CYP2J2,4,0,none
OCNT-0454725-AA-001,CYP3A4,4,0,none
OCNT-0454734-AA-001,CYP2J2,4,0,none
OCNT-0454734-AA-001,CYP3A4,3,0,none
OCNT-0454747-AA-001,CYP2J2,3,0,none
OCNT-0454747-AA-001,CYP3A4,4,0,none
OCNT-0454750-AA-001,CYP2J2,4,0,none
OCNT-0454750-AA-001,CYP3A4,4,0,none
OCNT-0454753-AA-001,CYP2J2,4,0,none
OCNT-0454753-AA-001,CYP3A4,4,2,partial
OCNT-0454778-AA-001,CYP2J2,4,0,none
OCNT-0454778-AA-001,CYP3A4,4,0,none
OCNT-0454780-AA-001,CYP2J2,4,0,none
OCNT-0454780-AA-001,CYP3A4,4,0,none
OCNT-0454781-AA-001,CYP2J2,4,0,none
OCNT-0454781-AA-001,CYP3A4,4,4,full
OCNT-0454782-AA-001,CYP2J2,4,0,none
OCNT-0454782-AA-001,CYP3A4,4,0,none
OCNT-0454784-AA-001,CYP2J2,4,0,none
OCNT-0454784-AA-001,CYP3A4,4,0,none
OCNT-0454792-AA-001,CYP2J2,4,0,none
OCNT-0454792-AA-001,CYP3A4,4,0,none
OCNT-0454827-AA-001,CYP2J2,4,0,none
OCNT-0454827-AA-001,CYP3A4,4,0,none
OCNT-0454831-AA-001,CYP2J2,4,0,none
OCNT-0454831-AA-001,CYP3A4,4,0,none
OCNT-0454835-AA-001,CYP2J2,4,0,none
OCNT-0454835-AA-001,CYP3A4,4,4,full
OCNT-0454840-AA-001,CYP2J2,4,0,none
OCNT-0454840-AA-001,CYP3A4,3,0,none
OCNT-0454842-AA-001,CYP2J2,4,0,none
OCNT-0454842-AA-001,CYP3A4,4,0,none
OCNT-0454845-AA-001,CYP2J2,4,0,none
OCNT-0454845-AA-001,CYP3A4,4,0,none
OCNT-0454847-AA-001,CYP2J2,4,0,none
OCNT-0454847-AA-001,CYP3A4,4,0,none
OCNT-0454848-AA-001,CYP2J2,4,0,none
OCNT-0454848-AA-001,CYP3A4,4,0,none
OCNT-0454851-AA-001,CYP2J2,4,0,none
OCNT-0454851-AA-001,CYP3A4,3,0,none
OCNT-0454857-AA-001,CYP2J2,4,0,none
OCNT-0454857-AA-001,CYP3A4,4,0,none
OCNT-0454859-AA-001,CYP2J2,4,0,none
OCNT-0454859-AA-001,CYP3A4,4,0,none
OCNT-0454860-AA-001,CYP2J2,4,0,none
OCNT-0454860-AA-001,CYP3A4,4,0,none
OCNT-0454862-AA-001,CYP2J2,4,0,none
OCNT-0454862-AA-001,CYP3A4,4,0,none
OCNT-0454864-AA-001,CYP2J2,4,0,none
OCNT-0454864-AA-001,CYP3A4,4,0,none
OCNT-0454866-AA-001,CYP2J2,4,0,none
OCNT-0454866-AA-001,CYP3A4,4,0,none
OCNT-0454868-AA-001,CYP2J2,4,0,none
OCNT-0454868-AA-001,CYP3A4,4,0,none
OCNT-0454869-AA-001,CYP2J2,4,0,none
OCNT-0454869-AA-001,CYP3A4,4,0,none
OCNT-0454870-AA-001,CYP2J2,4,0,none
OCNT-0454870-AA-001,CYP3A4,3,0,none
OCNT-0454871-AA-001,CYP2J2,4,0,none
