model,roc_auc,pr_auc,brier,prevalence,n
baseline_prevalence,0.44754562980946155,0.7736995443051019,0.1638436446297424,0.7945075757575758,1056
logistic_descriptors,0.7485321015252961,0.905081755950989,0.177107401699999,0.7945075757575758,1056
random_forest,0.8232260261557812,0.9372173769758214,0.12329304293917057,0.7945075757575758,1056
