ocnt_batch,CYP2J2,CYP3A4,CYP2J2_call,CYP3A4_call
OCNT-0454753-AA-001,-0.0265752114282235,-2.4900629588170085,inconclusive,substrate
OCNT-0454778-AA-001,0.0174221860493164,0.0091497741090495,non-substrate,non-substrate
OCNT-0454780-AA-001,0.0154517276871085,-0.011815289972899,non-substrate,inconclusive
OCNT-0454781-AA-001,-0.1026141388892795,-3.438327765185121,inconclusive,substrate
OCNT-0454782-AA-001,0.0722770590722804,-0.0433666959592982,non-substrate,inconclusive
OCNT-0454784-AA-001,0.0054391103020235,-1.1931520780560088,non-substrate,substrate
OCNT-0454792-AA-001,-1.052982986361649,0.0875355342384282,substrate,non-substrate
OCNT-0454827-AA-001,-0.0084601104265763,-1.7507712354379985,non-substrate,substrate
OCNT-0454831-AA-001,-0.4047704037836596,-0.8362938220234242,substrate,substrate
OCNT-0454835-AA-001,-2.170923049291234,-3.4671612185663316,substrate,substrate
OCNT-0454840-AA-001,-0.0113843283826832,-3.7865980191025743,non-substrate,substrate
OCNT-0454842-AA-001,-0.0673953023052021,-0.164463052074135,inconclusive,substrate
OCNT-0454845-AA-001,-0.2022632853256938,-0.6389376648377896,inconclusive,substrate
OCNT-0454847-AA-001,-0.0034037251384306,-1.993884120379206,non-substrate,substrate
OCNT-0454848-AA-001,-2.248237345213767,-3.575307337585817,substrate,substrate
OCNT-0454851-AA-001,-0.0363503582570713,-0.0039625089311459,inconclusive,inconclusive
OCNT-0454857-AA-001,-0.0200484823704013,-0.7932936071511292,non-substrate,substrate
OCNT-0454859-AA-001,-0.0821481421694762,-2.817241097387743,inconclusive,substrate
OCNT-0454860-AA-001,-0.0011712689970539,-2.2835015612557177,non-substrate,substrate
OCNT-0454862-AA-001,-0.0611821470281421,-1.3524771354348188,inconclusive,substrate
OCNT-0454864-AA-001,0.0114817634525268,-0.0582281368655067,non-substrate,inconclusive
OCNT-0454866-AA-001,0.0014672198035915,-0.1352532337332389,non-substrate,inconclusive
OCNT-0454868-AA-001,-0.1662078219798734,-2.852268987285332,substrate,substrate
OCNT-0454869-AA-001,0.011931510223671,-2.063622988824402,non-substrate,substrate
OCNT-0454870-AA-001,-0.2021685218651425,-2.710435520398921,substrate,substrate
OCNT-0454871-AA-001,0.0092260025589699,-0.296734890189413,non-substrate,substrate
OCNT-0454872-AA-001,-0.0463281074272616,-2.8167200198386,inconclusive,substrate
OCNT-0454876-AA-001,-0.0859007323751148,-4.012566598739462,inconclusive,substrate
OCNT-0454879-AA-001,-0.3023932645239136,-2.74623520823738,substrate,substrate
OCNT-0454884-AA-001,-2.8493360721597965,-2.9434679763918616,substrate,substrate
OCNT-0454889-AA-001,-0.1058296506943292,-1.4576555989585152,inconclusive,substrate
OCNT-0454890-AA-001,-0.2807302073206104,-2.5480442690482437,substrate,substrate
OCNT-0454892-AA-001,-0.1899455349817321,-0.5195445211863003,substrate,substrate
OCNT-0454895-AA-001,0.0788990291685528,-3.2192744675812803,non-substrate,substrate
OCNT-0454897-AA-001,0.0194322257327839,0.0599617506446214,non-substrate,non-substrate
OCNT-0454899-AA-001,0.056165078847385,-0.414893932575603,non-substrate,substrate
OCNT-0454901-AA-001,0.0234051136250363,-0.4600244325640442,non-substrate,substrate
OCNT-0454902-AA-001,-0.0990548113100375,-0.2179645948535326,inconclusive,inconclusive
OCNT-0454903-AA-001,0.0488889366730601,-0.7883320456784422,non-substrate,substrate
OCNT-0454906-AA-001,-2.489391311204608,-0.1100219782578101,substrate,inconclusive
OCNT-0454910-AA-001,-1.754459617100787,-1.4373374318112468,substrate,substrate
OCNT-0454912-AA-001,-2.604777333259798,-3.6435602998506256,substrate,substrate
OCNT-0454916-AA-001,-2.907196294228195,-3.093440031790635,substrate,substrate
OCNT-0454918-AA-001,0.0061467542733519,-0.232411240867416,non-substrate,substrate
OCNT-0454921-AA-001,0.0130427903915174,-2.381921230620828,non-substrate,substrate
OCNT-0454922-AA-001,0.0904473987741428,-3.67174610425362,non-substrate,substrate
OCNT-0454929-AA-001,-0.1594828836510256,-1.191377963717911,substrate,substrate
OCNT-0454931-AA-001,-0.2457545035963901,-0.3892675371429558,substrate,substrate
OCNT-0454932-AA-001,0.0047442204666055,-4.0014403373157235,non-substrate,substrate
OCNT-0454936-AA-001,-2.877211719515927,-3.780066149397437,substrate,substrate
OCNT-0454939-AA-001,0.1025247295332553,0.1425541290009159,non-substrate,non-substrate
OCNT-0454970-AA-001,-0.1201761189928366,-3.252538668684194,inconclusive,substrate
OCNT-0454980-AA-001,-0.0263840262979156,-2.3035264055187854,inconclusive,substrate
OCNT-0454987-AA-001,-0.3545744485173479,-3.3287693090854775,substrate,substrate
OCNT-0454989-AA-001,-0.8708722032549926,-2.953675111395205,substrate,substrate
OCNT-0454997-AA-001,-0.2061663067583603,-0.7392766861308546,substrate,substrate
OCNT-0455003-AA-001,-0.0307638127834789,-3.3708335799025693,inconclusive,substrate
OCNT-0455007-AA-001,-0.1915695507219358,-3.271658445764847,substrate,substrate
OCNT-0455012-AA-001,0.0149043666162827,-3.494329267647132,non-substrate,substrate
OCNT-0455026-AA-001,-0.0138845788054088,-0.4572590997651208,non-substrate,substrate
OCNT-0455046-AA-001,0.054275959369445,-0.7497057534034042,non-substrate,substrate
OCNT-0455058-AA-001,-0.1484227098852961,-1.2461833730889946,inconclusive,substrate
OCNT-0455070-AA-001,0.00259782825737,-3.5907596105598993,non-substrate,substrate
OCNT-0455078-AA-001,0.112866295665807,-3.372027064146664,non-substrate,substrate
OCNT-0455082-AA-001,-0.0063273894664862,-3.3876422110129747,non-substrate,substrate
OCNT-0455084-AA-001,0.008529761223052,-3.3283021920798226,non-substrate,substrate
OCNT-0455086-AA-001,0.0204733098413776,-3.6227879041890825,non-substrate,substrate
OCNT-0455088-AA-001,-0.3336197859003992,-3.266195208306077,substrate,substrate
OCNT-0455090-AA-001,0.1166129360108528,-1.6053551926584737,non-substrate,substrate
OCNT-0455094-AA-001,-0.0147456805141739,-3.855026784183571,non-substrate,substrate
OCNT-0455100-AA-001,-0.0135980741551626,-3.6035268480354,non-substrate,substrate
