core,id_i,id_j,sub_i,sub_j,activity_i,se_i,activity_j,se_j,delta_activity,abs_delta,se_diff,p_value,q_value,significant
O=C(CNC(=O)Cn1cnc2ccccc2c1=O)NCC[*:1],OCNT-0461679-AA-001,OCNT-0461685-AA-001,CCN(Cc1ccccc1)C[*:1],CCCCN(CC)[*:1],-0.3460194665206728,0.0231079206260626,0.0667980952604505,0.0353060662111731,-0.4128175617811233,0.4128175617811233,0.04219590391220631,1.3273440360938567e-22,3.4046235391212444e-22,True
O=C(Cn1cnc2ccccc2c1=O)NCC(=O)N[*:1],OCNT-0461679-AA-001,OCNT-0461685-AA-001,CCN(CCC[*:1])Cc1ccccc1,CCCCN(CC)CC[*:1],-0.3460194665206728,0.0231079206260626,0.0667980952604505,0.0353060662111731,-0.4128175617811233,0.4128175617811233,0.04219590391220631,1.3273440360938567e-22,3.4046235391212444e-22,True
O=C(CNC(=O)Cn1cnc2ccccc2c1=O)NC[*:1],OCNT-0461679-AA-001,OCNT-0461685-AA-001,CCN(CC[*:1])Cc1ccccc1,CCCCN(CC)C[*:1],-0.3460194665206728,0.0231079206260626,0.0667980952604505,0.0353060662111731,-0.4128175617811233,0.4128175617811233,0.04219590391220631,1.3273440360938567e-22,3.4046235391212444e-22,True
Cc1nc2c3cccnc3nn2c(C)c1CCC(=O)Nc1cccc([*:1])c1,OCNT-0479407-AA-001,OCNT-0479395-AA-001,Br[*:1],CC(=O)[*:1],-0.6170307007659108,0.1415553546274855,-0.2043426858329926,0.0678812211081742,-0.41268801493291823,0.41268801493291823,0.1569897404381892,0.008569735557432791,0.01201039112774229,True
Cc1nc2c3cccnc3nn2c(C)c1CCC(=O)N[*:1],OCNT-0479407-AA-001,OCNT-0479395-AA-001,Brc1cccc([*:1])c1,CC(=O)c1cccc([*:1])c1,-0.6170307007659108,0.1415553546274855,-0.2043426858329926,0.0678812211081742,-0.41268801493291823,0.41268801493291823,0.1569897404381892,0.008569735557432791,0.01201039112774229,True
Cc1nc2c3cccnc3nn2c(C)c1CC[*:1],OCNT-0479407-AA-001,OCNT-0479395-AA-001,O=C(Nc1cccc(Br)c1)[*:1],CC(=O)c1cccc(NC(=O)[*:1])c1,-0.6170307007659108,0.1415553546274855,-0.2043426858329926,0.0678812211081742,-0.41268801493291823,0.41268801493291823,0.1569897404381892,0.008569735557432791,0.01201039112774229,True
Cc1nc2c3cccnc3nn2c(C)c1C[*:1],OCNT-0479407-AA-001,OCNT-0479395-AA-001,O=C(C[*:1])Nc1cccc(Br)c1,CC(=O)c1cccc(NC(=O)C[*:1])c1,-0.6170307007659108,0.1415553546274855,-0.2043426858329926,0.0678812211081742,-0.41268801493291823,0.41268801493291823,0.1569897404381892,0.008569735557432791,0.01201039112774229,True
CC(=O)Nc1ccc(-c2noc(C3CCN(C(=O)[*:1])CC3)n2)cc1,OCNT-0463322-AA-001,OCNT-0463426-AA-001,COc1ccc(CC[*:1])cc1,CC(=O)Nc1cccc([*:1])c1,-0.2809836505511045,0.0449366477554425,0.1247620388043522,0.0304623928930376,-0.40574568935545674,0.40574568935545674,0.054288670017476975,7.787850055219021e-14,1.6054649608357998e-13,True
O=S(=O)(c1ccc2c(c1)CCCC2)N1CCC2(CC1)NCCN=C2NC[*:1],OCNT-0462811-AQ-001,OCNT-0462823-AQ-001,Fc1cc(F)cc([*:1])c1,Fc1cccc([*:1])c1,-2.02892600047762,0.0523161304260004,-2.4311214644240136,0.0648555115746662,0.4021954639463936,0.4021954639463936,0.08332595564625674,1.3876320802161503e-06,2.3498516957016744e-06,True
O=S(=O)(c1ccc2c(c1)CCCC2)N1CCC2(CC1)NCCN=C2N[*:1],OCNT-0462811-AQ-001,OCNT-0462823-AQ-001,Fc1cc(F)cc(C[*:1])c1,Fc1cccc(C[*:1])c1,-2.02892600047762,0.0523161304260004,-2.4311214644240136,0.0648555115746662,0.4021954639463936,0.4021954639463936,0.08332595564625674,1.3876320802161503e-06,2.3498516957016744e-06,True
CCSc1nnc(-c2nn(C)c3c2CN(C(=O)[*:1])CC3)n1C,OCNT-0462917-AA-001,OCNT-0462943-AA-001,c1csc([*:1])c1,CC(C)[*:1],-0.3378719800185994,0.0240472548349408,0.0601466786099829,0.0196517985913867,-0.3980186586285823,0.3980186586285823,0.031055815123306813,1.3300179443438485e-37,4.482856625081815e-37,True
O=C(c1ccc2c(c1)N(C[*:1])C(=O)CS2)N1CCCC1,OCNT-0457842-AA-001,OCNT-0457966-AA-001,COc1ccc(NC(=O)[*:1])cc1,Cc1cccc(CNC(=O)[*:1])c1,-0.6570303321639122,0.0610641591507044,-0.2625008454645341,0.0463436843091245,-0.39452948669937804,0.39452948669937804,0.07665878037202489,2.652978912225862e-07,4.597619970408417e-07,True
O=C(CN1C(=O)CSc2ccc(C(=O)N3CCCC3)cc21)N[*:1],OCNT-0457842-AA-001,OCNT-0457966-AA-001,COc1ccc([*:1])cc1,Cc1cccc(C[*:1])c1,-0.6570303321639122,0.0610641591507044,-0.2625008454645341,0.0463436843091245,-0.39452948669937804,0.39452948669937804,0.07665878037202489,2.652978912225862e-07,4.597619970408417e-07,True
O=C(c1ccc2c(c1)N([*:1])C(=O)CS2)N1CCCC1,OCNT-0457842-AA-001,OCNT-0457966-AA-001,COc1ccc(NC(=O)C[*:1])cc1,Cc1cccc(CNC(=O)C[*:1])c1,-0.6570303321639122,0.0610641591507044,-0.2625008454645341,0.0463436843091245,-0.39452948669937804,0.39452948669937804,0.07665878037202489,2.652978912225862e-07,4.597619970408417e-07,True
