core,id_i,id_j,sub_i,sub_j,activity_i,se_i,activity_j,se_j,delta_activity,abs_delta,se_diff,p_value,q_value,significant
CC1CCn2c(nc3cc(C(=O)NC[*:1])ccc32)C1,OCNT-0482582-AA-001,OCNT-0482578-AA-001,Cc1ccccc1[*:1],COc1ccc([*:1])cc1OC,-0.4010729117308598,0.0292578986426453,-0.0326244306644349,0.0422678420801153,-0.3684484810664249,0.3684484810664249,0.051406177713314495,7.643716608254996e-13,1.5394382337777756e-12,True
CC(=O)Nc1ccc(-c2noc(C3CCCN(C(=O)C[*:1])C3)n2)cc1,OCNT-0463436-AA-001,OCNT-0463304-AA-001,CCOc1ccc([*:1])cc1OCC,Fc1ccc([*:1])cc1,-3.2414042204651627,0.037503354897556,-2.8733263346721243,0.0459010610898781,-0.36807788579303846,0.36807788579303846,0.059274016548136486,5.30629125120032e-10,9.844196127132057e-10,True
CC(=O)Nc1ccc(-c2noc(C3CCCN(C(=O)[*:1])C3)n2)cc1,OCNT-0463436-AA-001,OCNT-0463304-AA-001,CCOc1ccc(C[*:1])cc1OCC,Fc1ccc(C[*:1])cc1,-3.2414042204651627,0.037503354897556,-2.8733263346721243,0.0459010610898781,-0.36807788579303846,0.36807788579303846,0.059274016548136486,5.30629125120032e-10,9.844196127132057e-10,True
Cc1nc(CCNC(=O)C2CCCN2S(=O)(=O)[*:1])cs1,OCNT-0462988-AA-001,OCNT-0462990-AA-001,COc1ccc([*:1])cc1Cl,CCC(=O)Nc1ccc([*:1])cc1,-0.4119531876346087,0.02641726909584,-0.7790395412682027,0.0379838505427046,0.36708635363359404,0.36708635363359404,0.04626710503729992,2.12082023125739e-15,4.54833225756953e-15,True
O=C(N[*:1])c1ccc2nc(Cc3ccccc3)oc2c1,OCNT-0482364-AA-001,OCNT-0482390-AA-001,Cc1cccc([*:1])c1C,CCOc1cc(C[*:1])ccc1OC,-1.4058558561886718,0.0274378351161866,-1.039138797675403,0.033938000291661,-0.36671705851326886,0.36671705851326886,0.04364198276499161,4.3576915855834134e-17,9.747048729362534e-17,True
O=C1C2CCCN2C(=O)c2ccccc2N1Cc1cccc([*:1])c1,OCNT-0462601-AA-001,OCNT-0462633-AA-001,Cc1ccc(C(C)NC(=O)[*:1])c(C)c1,CCOc1cccc(CNC(=O)[*:1])c1,-3.403688085252629,0.0344948645116666,-3.769890969259431,0.026236984595034,0.36620288400680234,0.36620288400680234,0.04333907057515524,2.920096243750147e-17,6.585691712863235e-17,True
O=C(N[*:1])c1cccc(CN2C(=O)C3CCCN3C(=O)c3ccccc32)c1,OCNT-0462601-AA-001,OCNT-0462633-AA-001,Cc1ccc(C(C)[*:1])c(C)c1,CCOc1cccc(C[*:1])c1,-3.403688085252629,0.0344948645116666,-3.769890969259431,0.026236984595034,0.36620288400680234,0.36620288400680234,0.04333907057515524,2.920096243750147e-17,6.585691712863235e-17,True
Cn1c(C2CCN(C(=O)[*:1])C2)nc2ccncc21,OCNT-0475004-AA-001,OCNT-0475006-AA-001,c1ccc2c(CC[*:1])c[nH]c2c1,COc1ccc(C[*:1])cc1Cl,-0.8871119353015358,0.0334650411557074,-1.250248515356415,0.0415030909599074,0.36313658005487914,0.36313658005487914,0.05331430894965757,9.676071571427785e-12,1.9094634786519184e-11,True
Cn1c(C2CCN(C(=O)C[*:1])C2)nc2ccncc21,OCNT-0475004-AA-001,OCNT-0475006-AA-001,c1ccc2c(C[*:1])c[nH]c2c1,COc1ccc([*:1])cc1Cl,-0.8871119353015358,0.0334650411557074,-1.250248515356415,0.0415030909599074,0.36313658005487914,0.36313658005487914,0.05331430894965757,9.676071571427785e-12,1.9094634786519184e-11,True
O=C(CN1C(=O)C2CCCCN2c2ccc(C(=O)N3CCCC3)cc21)N[*:1],OCNT-0460745-AA-001,OCNT-0460757-AA-001,Clc1ccc(C[*:1])cc1,COc1ccc(C[*:1])cc1,-0.9150103758741284,0.0248304287620565,-0.5524569917490307,0.0495815169225266,-0.36255338412509763,0.36255338412509763,0.055451573583139686,6.226433497822296e-11,1.1931153303971152e-10,True
