plate,edge,interior,delta_log10,pct_shift,condition
Plate01,4.746470724014382,4.728284776481463,0.018185947532919577,4.276380359496201,control
Plate02,4.799577966880438,4.7905173296120225,0.009060637268415661,2.1082039752238435,control
Plate03,4.672912403456656,4.663500117816629,0.009412285640026496,2.1909144993056184,control
Plate04,4.701218163756734,4.717370478271462,-0.016152314514727983,-3.650894845626307,control
Plate05,4.6274821720136465,4.6354535864286435,-0.007971414414996936,-1.8187435475350289,control
Plate06,4.463512254815512,4.498961469113523,-0.03544921429801029,-7.838234507187714,control
Plate07,4.471863226393893,4.4742670839441825,-0.002403857550289601,-0.5519796193536153,control
Plate08,4.462248215354998,4.491855199083599,-0.029606983728601044,-6.5900765287882805,control
Plate01,4.375505086407261,4.332235992312142,0.0432690940951197,10.476293230357125,treatment
Plate02,4.467437905745307,4.532075588717124,-0.06463768297181716,-13.82876504753332,treatment
Plate03,4.2369904646531475,4.189686782592971,0.047303682060176655,11.50739807456218,treatment
Plate04,4.158362492095249,4.2861195025903625,-0.12775701049511312,-25.485122897800817,treatment
Plate05,4.637126412774551,4.6573857530678415,-0.020259340293290684,-4.557752051804409,treatment
Plate06,4.446225825907597,4.469262225177402,-0.023036399269805052,-5.166102261093785,treatment
Plate07,4.49183728902682,4.467907584716039,0.02392970431078023,5.6646464666062935,treatment
Plate08,4.453223775764789,4.479920650712888,-0.026696874948099136,-5.96205606514868,treatment
