ocnt_batch,enzyme,mean,std,size,cv
OCNT-0017486-AA-002,CYP2J2,18836.875,2542.03495828965,4,0.13494992976752515
OCNT-0017486-AA-002,CYP3A4,26667.0,3402.9426726486786,4,0.1276087551148865
OCNT-0021863-AA-002,CYP2J2,18422.75,882.3493733587994,4,0.04789455284139444
OCNT-0021863-AA-002,CYP3A4,20681.5,3434.813507795341,4,0.1660814499816426
OCNT-0022119-AA-003,CYP2J2,70341.5,5434.391946973766,4,0.07725726558253329
OCNT-0022119-AA-003,CYP3A4,98751.625,9896.011253488281,4,0.10021112314342454
OCNT-0022128-AA-003,CYP2J2,20084.5,1759.8439798269994,4,0.0876219960580049
OCNT-0022128-AA-003,CYP3A4,37841.125,4356.911241062871,4,0.11513693742093745
OCNT-0022129-AA-002,CYP2J2,55387.166666666664,2268.459958503419,3,0.040956418156493875
OCNT-0022129-AA-002,CYP3A4,74907.16666666667,11884.742585909607,3,0.15865961983045157
OCNT-0022137-AA-003,CYP2J2,141263.875,10291.732461665528,4,0.07285466621714524
OCNT-0022137-AA-003,CYP3A4,224269.75,24584.499427145824,4,0.10962022041379109
OCNT-0022142-AA-001,CYP2J2,122505.625,3432.8428300511146,4,0.028021920055108607
OCNT-0022142-AA-001,CYP3A4,203378.125,10873.81550158453,4,0.05346600329600113
OCNT-0453746-AA-001,CYP2J2,18757.0,1528.2742718504423,3,0.08147754288268072
OCNT-0453746-AA-001,CYP3A4,43543.666666666664,1990.5848596162211,3,0.045714681651741654
OCNT-0453782-AA-001,CYP2J2,15597.166666666666,1257.4643467444048,3,0.08062133165710042
OCNT-0453782-AA-001,CYP3A4,25645.5,5592.200640177353,3,0.21805777388537378
OCNT-0453991-AA-001,CYP2J2,12825.25,1064.7504011112962,4,0.0830198554500923
OCNT-0453991-AA-001,CYP3A4,19290.125,2007.5166821639784,4,0.10406965647780812
OCNT-0454217-AA-001,CYP2J2,10342.125,736.7383496420784,4,0.07123665104048524
OCNT-0454217-AA-001,CYP3A4,16873.625,2632.7188536757967,4,0.1560256823104577
OCNT-0454221-AA-001,CYP2J2,7278.125,1154.4562482687106,4,0.15862000834950082
OCNT-0454221-AA-001,CYP3A4,13132.5,588.1242782496457,4,0.04478387803157401
OCNT-0454223-AA-001,CYP2J2,85948.75,4311.289395296957,4,0.05016116459281789
OCNT-0454223-AA-001,CYP3A4,139982.875,8967.115035645522,4,0.06405865742967147
