transformation,n_pairs,mean_delta,median_delta,n_significant
C[*:1]>>Cl[*:1],5,0.06487540076121241,-0.033575884213517426,3
Clc1ccc([*:1])cc1>>Clc1cccc([*:1])c1,3,0.09999590714547679,0.1296289586947307,2
Clc1ccc(C[*:1])cc1>>Clc1cccc(C[*:1])c1,3,0.09999590714547679,0.1296289586947307,2
Cc1ccc([*:1])cc1>>c1ccc([*:1])cc1,7,0.11288165421536703,0.0417464328823698,3
Cl[*:1]>>F[*:1],4,0.15172114331166345,0.17353855497441056,3
Cc1ccc([*:1])cc1>>Clc1ccc([*:1])cc1,3,0.1782503243387492,0.44530538753660104,2
C[*:1]>>c1ccc([*:1])cc1,7,0.21443562609464722,0.47485568322022437,7
COc1ccc(C[*:1])cc1>>Cc1ccc(C[*:1])cc1,3,0.2317197846704441,0.234808067503247,1
CO[*:1]>>Cl[*:1],6,0.2523304402737137,0.25843555009486385,5
COc1ccc([*:1])cc1>>COc1cccc([*:1])c1,7,0.3059616052725935,-0.0041882087534841905,3
COc1ccc([*:1])cc1>>Fc1ccc([*:1])cc1,3,0.3070014573461652,0.2350219716092888,2
Clc1ccc(C[*:1])cc1>>c1ccc(C[*:1])cc1,3,0.3445172986301775,0.34864320596660847,3
Clc1ccc([*:1])cc1>>c1ccc([*:1])cc1,5,0.39458978864340954,0.34864320596660847,4
COc1cc(OC)cc([*:1])c1>>COc1ccc(C[*:1])cc1,4,0.7249982539684885,0.796250488351784,3
Fc1ccc([*:1])cc1>>c1ccc([*:1])cc1,4,0.7370595154587376,0.22838217685933856,3
CC[*:1]>>c1ccc(C[*:1])cc1,6,0.7541057907549522,1.1016634039001056,6
CC(C)[*:1]>>CCC[*:1],4,0.7669860804974219,0.3914729225152157,2
COc1ccc([*:1])cc1>>c1cncc([*:1])c1,3,0.9349925407910881,1.2270174059660923,3
Fc1ccc(N2CCN([*:1])CC2)cc1>>c1ccc(N2CCN([*:1])CC2)cc1,3,1.1117846614113345,0.24439087379612834,2
CCCCN(Cc1ccccc1)[*:1]>>CCN(c1cccc(C)c1)[*:1],3,1.2512703137001855,1.4448774056573606,2
CCCCN(Cc1ccccc1)C[*:1]>>CCN(C[*:1])c1cccc(C)c1,3,1.2512703137001855,1.4448774056573606,2
CCN(CC[*:1])Cc1ccccc1>>CCN(CC[*:1])c1cccc(C)c1,3,1.3266501922229108,3.5991668329749316,3
CCN(CCC[*:1])Cc1ccccc1>>CCN(CCC[*:1])c1cccc(C)c1,3,1.3266501922229108,3.5991668329749316,3
CCN(Cc1ccccc1)[*:1]>>CCN(c1cccc(C)c1)[*:1],3,1.3266501922229108,3.5991668329749316,3
CC[*:1]>>c1ccc([*:1])cc1,5,1.4468987002836986,2.124693057601572,5
COc1ccc([*:1])cc1>>COc1ccccc1[*:1],4,1.8488760305671277,1.8430108959926677,4
