model,r2,mae,spearman,n
baseline_mean,-0.004005688078361436,1.1162391417795496,-0.08870353130468825,1223
ridge_descriptors,-1.100025124593564,1.4691255915187376,0.3268770767086301,1223
random_forest,0.28807712548273456,0.8757125514472522,0.5395684876492363,1223
