ocnt_batch	enzyme	control	treatment	log10_control	log10_treatment	log10fc	log2fc	pct_remaining
OCNT-0017486-AA-002	CYP2J2	18836.875	20992	4.2750319107804025	4.322074505773784	0.047042594993381925	0.1562721179649208	111.44099007929924
OCNT-0017486-AA-002	CYP3A4	26667	27727.625	4.425990446453526	4.44292833442755	0.016937887974023624	0.05626644592896248	103.97729403382459
OCNT-0021863-AA-002	CYP2J2	18422.75	4664.375	4.26537803186254	3.6688865578113994	-0.5964914740511409	-1.981501786011263	25.318559932691915
OCNT-0021863-AA-002	CYP3A4	20681.5	7090.125	4.315603032999412	3.850715141041123	-0.4648878919582895	-1.5443241492692026	34.28245049923845
OCNT-0022119-AA-003	CYP2J2	70341.5	72970	4.847217799251194	4.8631502978972625	0.015932498646068716	0.05292661487413044	103.73676990112521
OCNT-0022119-AA-003	CYP3A4	98751.625	9575.125	4.9945486486819215	3.9811898064100424	-1.0133588422718791	-3.366305208345486	9.696169556703497
OCNT-0022128-AA-003	CYP2J2	20084.5	25645	4.302882647346662	4.409019637931493	0.10613699058483128	0.35257945093054727	127.6855286414897
OCNT-0022128-AA-003	CYP3A4	37841.125	9424.5	4.577975515939634	3.9743043977617862	-0.6036711181778474	-2.005352047547062	24.905443482454604
OCNT-0022129-AA-002	CYP2J2	55387.166666666664	69973.25	4.743416990354715	4.844938252295656	0.10152126194094091	0.3372463322700307	126.33477068996129
OCNT-0022129-AA-002	CYP3A4	74907.16666666667	43803.375	4.874529168098999	4.641517488208921	-0.23301167989007787	-0.7740480458637483	58.476881384291225
OCNT-0022137-AA-003	CYP2J2	141263.875	173948.375	5.150034189520042	5.240422872666598	0.09038868314655613	0.30026470600441774	123.13719625771273
OCNT-0022137-AA-003	CYP3A4	224269.75	82564.5	5.350772635411113	4.916798615243543	-0.4339740201675699	-1.441630490045866	36.81481786999807
OCNT-0022142-AA-001	CYP2J2	122505.625	133114	5.08815957542009	5.124226996497799	0.03606742107770877	0.119813379388172	108.65950032906653
OCNT-0022142-AA-001	CYP3A4	203378.125	147707	5.308306374532845	5.1694040177342	-0.1389023567986447	-0.4614236414954874	72.62678815629754
OCNT-0453746-AA-001	CYP2J2	18757	18942.75	4.273186531523475	4.2774659537116975	0.004279422188222526	0.014215932796941265	100.99029695580317
OCNT-0453746-AA-001	CYP3A4	43543.666666666664	388.6666666666667	4.638934970386692	2.5906932564421776	-2.048241713944514	-6.804111694672525	0.8925905795714648
OCNT-0453782-AA-001	CYP2J2	15597.166666666666	4563.5	4.193073556473727	3.6593932114138483	-0.5336803450598784	-1.772847731943592	29.258519175491276
OCNT-0453782-AA-001	CYP3A4	25645.5	29.75	4.409028104948736	1.4878451201114355	-2.9211829848373005	-9.703959827637952	0.11600475716987385
OCNT-0453991-AA-001	CYP2J2	12825.25	13887.625	4.108099700618048	4.142659251895184	0.034559551277135725	0.11480434433421971	108.28346425995593
OCNT-0453991-AA-001	CYP3A4	19290.125	12542.625	4.285357555121623	4.098423062012469	-0.18693449310915344	-0.6209829445628249	65.02096279832298
OCNT-0454217-AA-001	CYP2J2	10342.125	7009.125	4.014651773304568	3.8457257620930827	-0.16892601121148498	-0.5611600626006891	67.77258058667826
OCNT-0454217-AA-001	CYP3A4	16873.625	8878.875	4.227234130407341	3.9484068523560416	-0.2788272780512995	-0.9262441685795819	52.619843098326534
OCNT-0454221-AA-001	CYP2J2	7278.125	3791.125	3.8620791773198375	3.5788826445720145	-0.28319653274782297	-0.9407585185096813	52.0893087161872
OCNT-0454221-AA-001	CYP3A4	13132.5	5080.375	4.118380478422234	3.7059812465578266	-0.41239923186440786	-1.3699605946403453	38.68551304016752
OCNT-0454223-AA-001	CYP2J2	85948.75	88239.875	4.934244617802846	4.945669805934713	0.011425188131867436	0.03795365344462421	102.66568740092205
OCNT-0454223-AA-001	CYP3A4	139982.875	0	5.1460780113793145	0	-5.1460780113793145	-17.09490112448303	0
OCNT-0454231-AA-001	CYP2J2	41027	6282.25	4.613080346844219	3.798184339910188	-0.8148960069340312	-2.7070259398456855	15.312477149194434
OCNT-0454231-AA-001	CYP3A4	65159.75	35.5	4.813986074393177	1.5622928644564746	-3.251693209936702	-10.801891030043201	0.05448148588660945
OCNT-0454249-AA-001	CYP2J2	86887.25	107858.75	4.938961050267004	5.032859409334804	0.09389835906779975	0.3119235970511443	124.13645270163344
OCNT-0454249-AA-001	CYP3A4	113726.75	116136.25	5.055866447110132	5.064971538212157	0.009105091102025398	0.03024645793832891	102.11867480605925
OCNT-0454251-AA-001	CYP2J2	65880.125	78721.875	4.818761006665302	4.896100946371399	0.07733993970609632	0.25691771856657486	119.49260114488247
OCNT-0454251-AA-001	CYP3A4	100520.5	85319.5	5.002258960589683	4.931053391861834	-0.07120556872784878	-0.2365397792694722	84.8777115115822
OCNT-0454253-AA-001	CYP2J2	32257.166666666668	33131.125	4.508639681429409	4.5202492911846495	0.011609609755240058	0.038566288816610894	102.70934624347043
OCNT-0454253-AA-001	CYP3A4	58631.625	43367.25	4.768139338112736	4.637171897807576	-0.1309674403051595	-0.43506441946519364	73.96562861766154
OCNT-0454255-AA-001	CYP2J2	41530.375	47347.5	4.618376309752483	4.675306225112437	0.056929915359954286	0.1891170852737939	114.00691662427802
OCNT-0454255-AA-001	CYP3A4	73597	48729.375	4.866866012696663	4.6877997534663365	-0.1790662592303267	-0.5948452373836072	66.21108876720518
OCNT-0454257-AA-001	CYP2J2	21547.375	26431.125	4.333414524838164	4.422132079464512	0.08871755462634745	0.2947133372229667	122.6651738320793
